Date,Energy Consumption (kWh),Peak Demand (kW),Carbon Emissions (kg CO2),Water Usage (m³),Temperature (°C),Humidity (%),HVAC Heating Load (kW),HVAC Cooling Load (kW)
2024-01-01,520.3,65.2,128.5,15.2,18.5,52,22.3,2.1
2024-01-02,548.7,71.4,135.8,14.8,17.9,55,24.1,1.8
2024-01-03,512.4,62.8,126.3,15.5,19.2,51,20.9,2.4
2024-01-04,535.2,68.5,132.1,14.9,18.1,54,23.5,2.0
2024-01-05,567.8,74.2,140.2,15.3,17.3,56,25.8,1.5
2024-01-06,492.1,59.3,121.6,14.6,20.1,49,19.3,2.8
2024-01-07,518.6,66.1,128.1,15.1,18.8,53,22.7,2.2
2024-01-08,541.3,70.8,133.7,15.4,17.6,55,24.9,1.9
2024-01-09,504.7,61.2,124.8,14.7,19.5,50,21.2,2.5
2024-01-10,526.5,67.3,130.0,15.2,18.3,54,23.1,2.1
2024-01-11,559.2,72.6,138.1,15.6,17.1,57,25.3,1.6
2024-01-12,483.9,58.7,119.5,14.5,20.5,48,18.8,3.0
2024-01-13,515.8,65.4,127.4,15.0,19.0,52,22.4,2.3
2024-01-14,547.6,71.1,135.2,15.5,17.8,56,24.6,1.8
2024-01-15,498.2,60.6,123.1,14.8,19.8,50,20.7,2.6
2024-01-16,533.1,68.9,131.8,15.3,18.0,54,23.8,2.0
2024-01-17,562.4,73.5,139.0,15.7,16.9,58,26.1,1.4
2024-01-18,489.5,59.2,120.8,14.6,20.3,49,19.1,2.9
2024-01-19,521.7,66.8,128.9,15.1,18.6,53,22.9,2.2
2024-01-20,544.8,70.2,134.5,15.4,17.7,55,24.3,1.9
2024-01-21,502.6,61.9,124.2,14.7,19.6,51,21.5,2.4
2024-01-22,530.9,67.6,131.1,15.2,18.2,54,23.4,2.1
2024-01-23,556.3,72.1,137.3,15.6,17.0,57,25.0,1.7
2024-01-24,486.7,58.4,120.1,14.5,20.4,48,19.0,2.95
2024-01-25,519.4,66.2,128.2,15.0,18.9,52,22.6,2.25
2024-01-26,542.1,69.9,133.8,15.5,17.9,55,24.1,2.0
2024-01-27,506.8,62.5,125.5,14.8,19.3,50,21.3,2.55
2024-01-28,537.5,69.3,132.6,15.3,18.1,54,23.7,2.05
2024-01-29,564.9,74.1,139.8,15.7,16.8,58,26.4,1.3
2024-01-30,491.2,59.6,121.4,14.6,20.2,49,19.2,2.85
2024-01-31,523.8,67.1,129.5,15.1,18.7,53,23.0,2.2
2024-02-01,546.2,70.6,134.9,15.4,17.8,55,24.5,1.85
2024-02-02,500.4,61.4,123.6,14.7,19.7,50,21.0,2.5
2024-02-03,532.6,68.2,131.5,15.2,18.3,54,23.5,2.1
2024-02-04,558.7,73.0,138.6,15.6,17.1,57,25.6,1.6
2024-02-05,488.3,59.0,120.5,14.6,20.3,49,19.3,2.9
2024-02-06,520.1,66.5,128.5,15.1,18.8,53,22.8,2.2
2024-02-07,545.0,70.4,134.2,15.5,17.8,55,24.2,1.9
2024-02-08,504.5,62.2,124.9,14.8,19.5,50,21.4,2.4
2024-02-09,535.8,69.0,132.3,15.3,18.2,54,23.6,2.05
2024-02-10,561.2,73.8,139.5,15.7,16.9,58,26.2,1.45
2024-02-11,490.6,59.4,121.2,14.6,20.2,49,19.15,2.88
2024-02-12,522.5,66.9,129.1,15.1,18.7,53,22.9,2.2
2024-02-13,543.7,70.0,133.9,15.4,17.9,55,24.0,1.95
2024-02-14,502.3,61.7,124.5,14.7,19.6,50,21.2,2.45
2024-02-15,531.4,67.9,131.2,15.2,18.4,54,23.3,2.15
2024-02-16,557.5,72.6,138.2,15.6,17.2,57,25.4,1.65
2024-02-17,487.1,58.8,120.2,14.6,20.4,49,19.25,2.92
2024-02-18,521.3,66.7,128.8,15.1,18.8,53,22.95,2.2
2024-02-19,544.5,70.3,134.6,15.5,17.75,55,24.35,1.88
2024-02-20,503.8,61.6,124.7,14.8,19.65,51,21.35,2.42
